,States,Population
0,Baden-Württemberg,13.332247517704825
1,Bayern,15.730693594894255
2,Berlin,4.373303413080459
3,Brandenburg,3.024117171570934
4,Bremen,0.8211179075126376
5,Hamburg,2.212892250895798
6,Hessen,7.5409895399761115
7,Mecklenburg-Vorpommern,1.9419209284930086
8,Niedersachsen,9.626238131431949
9,Nordrhein-Westfalen,21.612918793055606
10,Rheinland-Pfalz,4.9200719051238435
11,Saarland,1.1970514073377008
12,Sachsen,4.916693812057379
13,Sachsen-Anhalt,2.6709857999445026
14,Schleswig-Holstein,3.4902940147429633
15,Thüringen,2.5884638121780252
